Year,Month,Prec_Average,Average_Temperature_Mean,Average_Temperature_Min,Average_Temperature_Max,Average_RH_Mean,Average_RH_Min,Average_RH_Max,Average_Wind-Speed,Malaria_incidence
2009,1,91.4888889,27.725,19.5,35.95,43.5,28,59,1.5,21.62
2009,2,141.4,29.525,21.05,38,49.5,26.5,72.5,1.45,20.58666667
2009,3,98.95555556,29.475,21.55,37.4,42,22,62,1.6,20.93333333
2009,4,162.0111111,28.6,21.25,35.95,45.25,27.5,63,2.3,19.76
2009,5,155.6222222,26.8,19.35,34.25,55,35.5,74.5,2,22.82666667
2009,6,284.5888889,26.625,19.75,33.5,62.25,45,79.5,1.8,24.66333333
2009,7,254.6555556,25.35,18.55,32.15,55.75,40.5,71,1.7,26.48666667
2009,8,247.9333334,25.1,18.55,31.65,64,48.5,79.5,1.75,27.48666667
2009,10,154.6777778,25.375,18.25,32.5,60,42,78,1.45,27.19
2009,11,92.28888888,26.425,18.55,34.3,51.5,29.5,73.5,1.4,22.77
2009,12,141.8555556,26.725,18.5,34.95,39.5,19.5,59.5,2,22.38333333
2010,13,134.6333333,27.325,18.3,36.35,43.5,24,63,1.75,23.1
2010,14,128.2777778,30.5,22.6,38.4,48.5,28,69,1.4,21.34
2010,15,130.7777778,31,23.6,38.4,51,30,72,1.45,22.07
2010,16,125.3555556,29.95,23.4,36.5,55.25,34.5,76,1.9,21.89333333
2010,17,171.0444444,28.8,22.65,34.95,55,38.5,71.5,1.7,25.30333333
2010,18,237.0333333,27.4,20.75,34.05,60.25,43,77.5,1.75,31.66
2010,19,215.6,26.675,20.3,33.05,63,48.5,77.5,1.65,22.31
2010,20,287.2444444,27.1,21.05,33.15,64,47,81,1.65,27.21
2010,21,280.2111111,26.5,19.85,33.15,63,47.5,78.5,1.6,26.67333333
2010,22,157.9555556,27.3,20.4,34.2,59.5,43,76,1.85,28.99666667
2010,23,79.43333332,28.625,21.2,36.05,53.75,29.5,78,1.55,28.48
2010,24,99.1111111,27.25,18.75,35.75,42.5,21.5,63.5,1.6,24.46333333
2011,25,83.3888889,26.9,18.45,35.35,32.5,16.5,48.5,2.35,23.47
2011,26,132.0666667,28.3,20.45,36.15,49,29.5,68.5,2.15,23.19
2011,27,88.14444443,31.125,24.2,38.05,57.5,35.5,79.5,1.95,24.89
2011,28,128.7555555,31.1,24.3,37.9,55.5,35.5,75.5,1.85,22.71333333
2011,29,201.8777778,29.475,23.5,35.45,64,44,84,2.8,23.26333333
